Log_NR,Location,Latitude,Longitude,Code_grafana,Start,End,ID
155,Ostermundigen Milchstrasse,46.96241,7.48201,5d30f69ffcbf,05-11-2023,NA,live
156,Ostermundigen Tiefenmosli,46.94801,7.48411,d89267a081f7,05-11-2023,NA,OLD
156,Ostermundigen Tiefenmoesli,46.94801,7.48411,d89267a081f7,05-11-2023,NA,OLD
156,Ostermundigen Tiefenmosli,46.94801,7.48411,d89267a081f7,05-11-2023,NA,live
161,Ostermundigen Schermenweg,46.95821,7.48052,d3960c86f92a,05-11-2023,NA,OLD
161,Ostermundigen Schermenweg,46.95821,7.48052,d3960c86f92a,05-11-2023,NA,live
162,Ostermundigen Poststrasse,46.95867,7.48222,b60acb7fff9f,05-11-2023,NA,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,db897f1683fc,06-16-2023,NA,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,b60acb7fff9f,05-11-2023,06-16-2023,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,b60acb7fff9f,11-05-2023,NA,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,db897f1683fc,06-16-2023,NA,live
171,Postgasse Nord,46.94886,7.4542,7b36c77aba0d,03-21-2024,NA,live
173,Postgasse West,46.94871,7.45341,a6d098900d78,03-21-2024,NA,live
174,Postgasse Sued,46.94886,7.45466,f31e2d9d37ba,03-21-2024,NA,live
NA,Ostermundigen BareTower 2,46.95563,7.48114,75a4a50dfb2c,03-21-2024,06-01-2024,OLD
