"","Log_NR","STANDORT","NORD_CHTOPO","OST_CHTOPO","Code_grafana","LV_03_E","LV_03_N","HuM","Art","ZUSTAENDIG","BEFESTIGUNG","Doppel_Messnetz_23","Start","End","Quali"
"69",136,"Optingenstrasse Nord",4695672,745081,"f055cf494274",2600927,1200627,5554,"Monitoring intern?","TAB","Strassenlampe","Nein","21.03.24",NA,1
"70",141,"Viererfeld 2 (Schacht)",4696271,743688,"2512f6b6f8a7",25998663,12012931,5711,"Monitoring extern","eawag","Stange","nein","08.05.23",NA,1
"71",142,"Viererfeld 3 (Strasse Sud)",4696286,744009,"34203a10c11a",26001111,12013094,5642,"Monitoring extern","ewb","Kandelaber","nein","11.05.23",NA,1
"72",143,"Viererfeld 4 (Strasse Nord)",4696523,744165,"cb1330fd71b9",26002298,12015728,5675,"Monitoring extern","ewb","Kandelaber","nein","16.05.23",NA,1
"73",144,"Viererfeld 5 (Mittelfeld)",4696178,743481,"a8386067f2e8",25997093,12011895,5736,"Monitoring extern","Urban Climate Bern","Eigene Stange","nein","08.05.23",NA,1
"74",152,"Ostermundigen Moosweg",4695813,748807,"71912f0c8afa",2603763,12007848,552,"Hauptnetz Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"75",153,"Ostermundigen Wegmuhlegassli",4695806,749371,"57542e9f73a9",26041922,12007773,5483,"Hauptnetz Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"76",154,"Ostermundigen Oberfeld",469581,749792,"22164103ffc8",26045124,12007814,5674,"Hauptnetz Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"77",155,"Ostermundigen Milchstrasse",4696241,748201,"5d30f69ffcbf",26033016,12012605,5505,"Hauptnetz Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"78",156,"Ostermundigen Tiefenmosli",4694801,748411,"d89267a081f7",26034623,11996598,5522,"Monitoring Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"79",161,"Ostermundigen Schermenweg",4695821,748052,"d3960c86f92a",26031881,12007933,5518,"Monitoring Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"80",162,"Ostermundigen Poststrasse",4695867,748222,"db897f1683fc",26033177,12008443,5515,"Hauptnetz Ostermundigen","Gemeinde Ostermundigen","Strassenlampe","nein","16.06.23",NA,1
"81",171,"Postgasse Nord",4694886,74542,"7b36c77aba0d",2601185138,1199752986,531,"Monitoring intern","UC","Verkehrsschild","nein","21.03.24",NA,1
"82",173,"Postgasse West",4694871,745341,"a6d098900d78",2601124999,1199736299,537,"Monitoring intern","UC","Verkehrsschild","nein","21.03.24",NA,1
"83",174,"Postgasse Sued",4694886,745466,"f31e2d9d37ba",2601220158,1199752992,530,"Monitoring intern","UC","Verkehrsschild","nein","21.03.24",NA,1
